DOCUMENT ID	TYPE	START POSITION	END POSITION	MATCHED TERM	PREFERRED FORM	ENTITY ID	ZONE	SENTENCE ID	ORIGIN
unknown	organism	48	51	ray	Dipturus trachyderma	255564		S1	NCBI Taxonomy
unknown	molecular_function	95	104	oxygenase	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	GO:0016701		S1	Gene Ontology
unknown	gene/protein	105	109	PIOX	alpha-dioxygenase 1 (Arabidopsis thaliana)	PR:Q9SGH6		S1	Protein Ontology
unknown	organism	115	120	Oryza	Oryza	D012275		S1	MeSH desc (Organisms)
unknown	organism	115	127	Oryza sativa	Oryza	D012275		S1	MeSH desc (Organisms)
unknown	organism	115	127	Oryza sativa	Oryza sativa (Indica Group) x Oryza nivara	311553		S1	NCBI Taxonomy
unknown	organism	115	127	Oryza sativa	Oryza sativa	4530		S1	NCBI Taxonomy
unknown	molecular_function	148	157	oxygenase	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	GO:0016701		S2	Gene Ontology
unknown	gene/protein	158	162	PIOX	alpha-dioxygenase 1 (Arabidopsis thaliana)	PR:Q9SGH6		S2	Protein Ontology
unknown	chemical	168	172	heme	heme	CHEBI:30413		S2	ChEBI
unknown	chemical	168	172	heme	ferroheme b	CHEBI:17627		S2	ChEBI
unknown	chemical	168	172	heme	Heme	D006418		S2	MeSH desc (Chemicals and Drugs)
unknown	chemical	168	172	heme	heme b	CHEBI:26355		S2	ChEBI
unknown	cellular_component	184	192	membrane	membrane	GO:0016020		S2	Gene Ontology
unknown	chemical	204	211	protein	protein	CHEBI:36080		S2	ChEBI
unknown	gene/protein	204	211	protein	protein	PR:000000001		S2	Protein Ontology
unknown	cellular_component	204	211	protein	obsolete protein	GO:0003675		S2	Gene Ontology
unknown	sequence	204	211	protein	polypeptide	SO:0000104		S2	Sequence Ontology
unknown	chemical	272	288	molecular oxygen	dioxygen	CHEBI:15379		S2	ChEBI
unknown	chemical	282	288	oxygen	oxygen atom	CHEBI:25805		S2	ChEBI
unknown	chemical	300	327	polyunsaturated fatty acids	Fatty Acids, Unsaturated	D005231		S2	MeSH desc (Chemicals and Drugs)
unknown	chemical	300	327	polyunsaturated fatty acids	polyunsaturated fatty acid	CHEBI:26208		S2	ChEBI
unknown	chemical	316	327	fatty acids	Fatty Acids	D005227		S2	MeSH desc (Chemicals and Drugs)
unknown	chemical	316	327	fatty acids	fatty acid	CHEBI:35366		S2	ChEBI
unknown	chemical	322	327	acids	acid	CHEBI:37527		S2	ChEBI
unknown	chemical	356	370	hydroperoxides	hydroperoxide	CHEBI:35923		S2	ChEBI
unknown	chemical	356	370	hydroperoxides	peroxol	CHEBI:35924		S2	ChEBI
unknown	gene/protein	372	376	PIOX	alpha-dioxygenase 1 (Arabidopsis thaliana)	PR:Q9SGH6		S3	Protein Ontology
unknown	chemical	411	421	fatty-acid	fatty acid	CHEBI:35366		S3	ChEBI
unknown	chemical	417	421	acid	acid	CHEBI:37527		S3	ChEBI
unknown	chemical	422	427	alpha	alpha-particle	CHEBI:30216		S3	ChEBI
unknown	chemical	428	440	dioxygenases	Dioxygenases	D049308		S3	MeSH desc (Chemicals and Drugs)
unknown	chemical	469	483	cyclooxygenase	Prostaglandin-Endoperoxide Synthases	D011451		S3	MeSH desc (Chemicals and Drugs)
unknown	chemical	492	506	cyclooxygenase	Prostaglandin-Endoperoxide Synthases	D011451		S3	MeSH desc (Chemicals and Drugs)
unknown	gene/protein	492	508	cyclooxygenase 1	Prostaglandin G/H synthase 1	O62664		S3	Swiss-Prot
unknown	gene/protein	492	508	cyclooxygenase 1	Prostaglandin G/H synthase 1	Q8HZR1		S3	Swiss-Prot
unknown	chemical	492	508	cyclooxygenase 1	Cyclooxygenase 1	D051545		S3	MeSH desc (Chemicals and Drugs)
unknown	gene/protein	492	508	cyclooxygenase 1	Prostaglandin G/H synthase 1	P22437		S3	Swiss-Prot
unknown	gene/protein	492	508	cyclooxygenase 1	Prostaglandin G/H synthase 1	Q63921		S3	Swiss-Prot
