24018854	Deficiency of phytochrome B alleviates chilling-induced photoinhibition in rice.	2013	Am J Bot	UNLABELLED: OrderedDict([('@Label', 'UNLABELLED')])

PREMISE OF THE STUDY: Food crops of tropical origins, such as rice, are often cultivated in areas with suboptimal temperature regimes. The rice phytochrome B-deficient mutant (phyB) is tolerant of chilling temperatures compared with the wild type (WT) under low irradiance, and unsaturated fatty acids (USFAs) of membrane lipids have been shown to play an important role in chilling resistance. However, the relationship between phytochrome B and membrane lipids has not been empirically investigated. •

METHODS: We assessed various photosynthesis indexes in phyB and WT rice: chlorophyll content, maximal photochemical efficiency (Fv/Fm) of photosystem II (PSII), the quantum yield of PSII electron transport (ΦPSII), the percentage of oxidizable P700 (P700), nonphotochemical quenching (NPQ), and the de-epoxidized ratio of xanthophyll cycle (A+Z)/(V+A+Z). We also analyzed the ultrastructure and fatty acid desaturases (FADs) and glycerol-3-phosphate acyltransferase (GPAT) genes of the chloroplasts using transmission electron microscopy and real-time PCR. •

RESULTS: After a chilling treatment of 24 h, chloroplast damage and USFA content reduction were more severe in the WT than in the phyB mutant. Genes involved in the synthesis of USFAs in membranes such as FADs and GPAT were more stable in phyB than in WT. Chlorophyll content, Fv/Fm, ΦPSII, and P700 decreased more slowly under chilling stress and recovered more rapidly under optimal conditions in phyB than in WT. The (A+Z)/(V+A+Z) and NPQ increased more rapidly in phyB than in the WT after 24 h of chilling treatment. •

CONCLUSIONS: Phytochrome B deficiency in rice with more stabilized chloroplast structure and higher USFA content in membrane lipids could alleviate chilling-induced photoinhibition.
23999092	Demonstration of CRISPR/Cas9/sgRNA-mediated targeted gene modification in Arabidopsis, tobacco, sorghum and rice.	2013	Nucleic Acids Res	The type II CRISPR/Cas system from Streptococcus pyogenes and its simplified derivative, the Cas9/single guide RNA (sgRNA) system, have emerged as potent new tools for targeted gene knockout in bacteria, yeast, fruit fly, zebrafish and human cells. Here, we describe adaptations of these systems leading to successful expression of the Cas9/sgRNA system in two dicot plant species, Arabidopsis and tobacco, and two monocot crop species, rice and sorghum. Agrobacterium tumefaciens was used for delivery of genes encoding Cas9, sgRNA and a non-fuctional, mutant green fluorescence protein (GFP) to Arabidopsis and tobacco. The mutant GFP gene contained target sites in its 5' coding regions that were successfully cleaved by a CAS9/sgRNA complex that, along with error-prone DNA repair, resulted in creation of functional GFP genes. DNA sequencing confirmed Cas9/sgRNA-mediated mutagenesis at the target site. Rice protoplast cells transformed with Cas9/sgRNA constructs targeting the promoter region of the bacterial blight susceptibility genes, OsSWEET14 and OsSWEET11, were confirmed by DNA sequencing to contain mutated DNA sequences at the target sites. Successful demonstration of the Cas9/sgRNA system in model plant and crop species bodes well for its near-term use as a facile and powerful means of plant genetic engineering for scientific and agricultural applications.
24057602	Bt rice expressing Cry2Aa does not cause direct detrimental effects on larvae of Chrysoperla sinica.	2013	Ecotoxicology	To assess the potential effects of Cry2Aa-expressing insect-resistant Bt rice on Chrysoperla sinica larvae, we conducted two tritrophic bioassays using a non-target (Laodelphax striatellus) and a target herbivore (Chilo suppressalis) as prey. None of the tested life-table parameters of C. sinica did differ when fed with L. striatellus nymphs reared on either Bt or control rice plants. Similarly, C. sinica larval survival and development were not affected when fed C. suppressalis larvae that were reared on Cry2Aa-contained artificial diet compared to those fed control diet. However, the 7-day larval weight was significantly decreased in the Bt treatment and none of the C. sinica larvae developed to the adult stage. To clarify whether the observed effects were due to the direct toxicity of Cry2Aa or prey-quality mediated, we conducted a dietary exposure assay in which the toxicity of Cry2Aa to C. sinica larvae was tested. Potassium arsenate (PA) was included as a positive control. None of the tested life-table parameters of C. sinica was adversely affected when fed Cry2Aa at 500 μg/ml sucrose solution. In contrast, C. sinica larvae were adversely affected by feeding on sucrose solution containing PA. In the feeding assays, exposure of C. sinica larvae to Cry2Aa was confirmed by ELISA. Our results demonstrate that C. sinica larvae are not sensitive to Cry2Aa at concentrations exceeding the levels that the larvae may encounter in Bt rice fields. Consequently the detrimental effects observed in the tritrophic studies using Bt rice-fed C. suppressalis as prey can be attributed to the decreased prey quality due to the sensitivity of C. suppressalis larvae to Cry2Aa.
