10773343	Xylem-specific expression of wound-inducible rice peroxidase genes in transgenic plants.	2000	Plant Sci	A peroxidase gene, poxA, was isolated from a rice (Oryza sativa L.) genomic library. The gene consists of four exons whose combined sequences were identical to that of the prxRPA mRNA whose levels were dramatically stimulated by wounding as well as by treatment of rice shoots with ethephon or UV irradiation [H. Ito, F. Kimizuka, A. Ohbayashi, H. Matsui, M. Honma, A. Shinmyo, Y. Ohashi, A.B. Caplan, R.L. Rodriguez, Molecular cloning and characterization of two complementary DNAs encoding putative peroxidases from rice (Oryza sativa L.) shoots, Plant Cell Rep. 13 (1994) 361-366]. The temporal and spatial expression properties of the poxA gene promoter as well as that from a second related peroxidase gene, poxN, were analyzed in transgenic tobacco and rice plants using the uidA gene as a reporter. In transgenic tobacco, UV- and wound-responsive cis-elements were located within 144 bp from the translational start codon of the poxA gene. The poxN promoter, however, was inactive in the heterologous host as no significant GUS activity was evident. On the other hand, chimeric uidA genes containing 2.2 kb of the poxA promoter or 1.4 kb of poxN promoter were active in transgenic rice plants. Both peroxidase promoters directed GUS activities in a spatial and tissue specific manner coincident with the expression patterns exhibited by their mRNAs. Histochemical analysis of transgenic rice plants showed that both peroxidase genes are expressed in the vascular bundles of the shoot apex and lamina joint, and in xylem-parenchyma cells of the leaf blade and sheath.
11846882	Position dependent expression of GL2-type homeobox gene, Roc1: significance for protoderm differentiation and radial pattern formation in early rice embryogenesis.	2002	Plant J	In early plant embryogenesis, the determination of cell fate in the protodermal cell layer is considered to be the earliest event in radial pattern formation. To elucidate the mechanisms of epidermal cell fate determination and radial pattern formation in early rice embryogenesis, we have isolated a GL2-type homeobox gene Roc1 (Rice outermost cell-specific gene1), which is specifically expressed in the protoderm (epidermis). In early rice embryogenesis, cell division occurs randomly and the morphologically distinct layer structure of the protoderm cannot be observed until the embryo reaches more than 100 microm in length. Nonetheless, in situ hybridization analyses revealed that specific expression of Roc1 in the outermost cells is established shortly after fertilization, much earlier than protoderm differentiation. In the regeneration process from callus, the Roc1 gene is also expressed in the outermost cells of callus in advance of tissue and organ differentiation, and occurs independently of whether the cells will differentiate into epidermis in the future or not. Furthermore, this cell-specific Roc1 expression could be induced flexibly in the newly produced outermost cells when we cut the callus. These findings suggest that the expression of Roc1 in the outermost cells may be dependent on the positional information of cells in the embryo or callus prior to the cell fate determination of the protoderm (epidermis). Furthermore, the Roc1 expression is downregulated in the inner cells of ligule, which have previously been determined as protodermal cells, also suggesting that the Roc1 expression is position dependent and that this position dependent Roc1 expression is important also in post-embryonic protoderm (epidermis) differentiation.
9426242	Transcript levels of tandem-arranged alternative oxidase genes in rice are increased by low temperature.	1997	Gene	We identified two genes for alternative oxidase (AOX) from rice. One AOX gene (designated AOX1a) is located approx. 1.9 kb downstream of another AOX gene (designated AOX1b). Comparison of the genomic and cDNA sequences of the two AOX genes showed that the AOX1a gene is interrupted by three introns, as are AOX genes of other plants. On the other hand, two introns are inserted in the AOX1b gene. The predicted AOX1a and AOX1b precursor proteins consist of 332 and 335 amino acid residues, respectively. A genomic Southern hybridization analysis indicated that rice has several AOX genes other than the two tandem-arranged AOX genes. Steady-state mRNA levels of both of the genes for AOX1a and AOX1b were increased under low temperature (4 degrees C). However, no difference in the pattern of induction of transcription between the genes for AOX1a and AOX1b was observed.
10095070	Expression of novel homeobox genes in early embryogenesis in rice.	1999	Biochim Biophys Acta	We isolated four novel cDNA clones of rice (Oryza sativa L.), which encode predicted proteins with a KN1-like homeodomain. In situ hybridization and RT-PCR analysis with solid cDNA libraries as templates showed that these genes are expressed in distinct patterns during the early stages of rice embryogenesis.
12034492	Organ-specific alternative transcripts of KNOX family class 2 homeobox genes of rice.	2002	Gene	We identified three genes (HOS58, HOS59 and HOS66) of rice (Oryza sativa), which encode predicted proteins with the KNOX family class 2 homeodomain. These proteins contain three conserved domains, the KNOX domain, ELK domain and homeodomain, from an N-terminus to a C-terminus. In addition to similarity of predicted amino acid sequences, these genes showed a similar exon/intron structure. cDNA cloning and reverse transcription-polymerase chain reaction analyses of these genes indicated tissue-specific expression of alternative transcripts. The expression of the longer mRNAs of HOS58 (HOS58L) and HOS59L was detected in all organs examined such as roots, leaf blades, leaf sheaths, flowers and calli, whereas the shorter mRNAs of HOS58 (HOS58S) and HOS59S were expressed in leaf blades, leaf sheaths and flowers. The expression of HOS66L was detected in roots, leaf blades, leaf sheaths and flowers, whereas the expression of HOS66S was detected in roots and flowers. The alternative transcripts of HOS66 arose by use of alternative transcription start sites. The longer transcripts contained an exon 1 which encodes an alanine/glycine-rich region, whereas the shorter ones lacked it. These results suggest that the expression of the alternative transcripts is organ-specific, and their products have different degrees of abilities for activation or repression of transcription.
15094187	Radial axis differentiation in a globular embryo is marked by HAZ1, a PHD-finger homeobox gene of rice.	2004	Gene	Homeobox genes that encode transcription factors play important roles in development and differentiation of both plant and animal systems. From a cDNA library of 3-day after-pollination (DAP) rice embryos we cloned a HAZ1 cDNA that encodes a protein with a PHD-finger domain and a homeodomain. A database search showed that HAZ1 was most similar in its entire amino acid sequence to Zmhox1a (52% identity) and Zmhox1b (50%), PHD-finger family homeodomain proteins of maize. Differing from Zmhox1, overexpression of HAZ1 brought no morphological change either in tobacco or in rice. In situ hybridization showed that HAZ1 was expressed at a higher level in the outer layers of a developing embryo than in the inner parts of the embryo at 3 DAP. At 4 and 5 DAPs, the expression of HAZ1 was concentrated at the ventral part of an embryo. These results indicate that HAZ1 marks outer layer cells of a globular embryo before any morphological differentiation is discerned in it. Radial axis differentiation marked by HAZ1 is then collapsed dynamically along with embryo morphogenesis, and HAZ1 later marks the ventral surface of the embryo.
16081169	Expression of SERK family receptor-like protein kinase genes in rice.	2005	Biochim Biophys Acta	Some SERK-family receptor-like protein kinase genes have been shown to confer embryonic competence to cells. In this study, we isolated two novel rice genes, OsSERK1 and OsSERK2, belonging to the SERK-family. OsSERK2 showed constitutive expression. The OsSERK1 promoter showed reporter gene activities in some specific tissues in a germinating seed, leaf and root, but not in a developing embryo. This promoter activity suggests that OsSERK1 may have roles in non-embryonic tissues rather than in the embryo.
11438692	Cloning and functional analysis of two gibberellin 3 beta -hydroxylase genes that are differently expressed during the growth of rice.	2001	Proc Natl Acad Sci U S A	We have cloned two gibberellin (GA) 3 beta-hydroxylase genes, OsGA3ox1 and OsGA3ox2, from rice by screening a genomic library with a DNA fragment obtained by PCR using degenerate primers. We have used full-scan GC-MS and Kovats retention indices to show function for the two encoded recombinant fusion proteins. Both proteins show 3 beta-hydroxylase activity for the steps GA(20) to GA(1), GA(5) to GA(3), GA(44) to GA(38), and GA(9) to GA(4). In addition, indirect evidence suggests that the OsGA3ox1 protein also has 2,3-desaturase activity, which catalyzes the steps GA(9) to 2,3-dehydro-GA(9) and GA(20) to GA(5) (2,3-dehydro GA(20)), and 2 beta-hydroxylase activity, which catalyzes the steps GA(1) to GA(8) and GA(4) to GA(34). Molecular and linkage analysis maps the OsGA3ox1 gene to the distal end of the short arm of chromosome 5; the OsGA3ox2 gene maps to the distal end of the short arm of chromosome 1 that corresponds to the D18 locus. The association of the OsGA3ox2 gene with the d18 locus is confirmed by sequence and complementation analysis of three d18 alleles. Complementation of the d18-AD allele with the OxGA3ox2 gene results in transgenic plants with a normal phenotype. Although both genes show transient expression, the highest level for OsGA3ox1 is from unopened flower. The highest level for OsGA3ox2 is from elongating leaves.
7682174	Processing followed by complete editing of an altered mitochondrial atp6 RNA restores fertility of cytoplasmic male sterile rice.	1993	EMBO J	Two atp6 genes were found in the mitochondrial genome of cytoplasmic male sterile (CMS) rice carrying the [cms-bo] cytoplasm. One (N-atp6) was identical to the normal cytoplasmic gene, while the second (B-atp6) was identified as a candidate CMS gene by Southern analysis of the mitochondrial genome of CMS cybrid rice. The coding sequence of B-atp6 was identical to the normal N-atp6 gene but its 3'-flanking sequence was different starting at 49 bases downstream from the stop codon. Northern analysis showed that B-atp6 is transcribed into a 2.0 kb RNA in the absence of the Rf-1 gene, whereas two discontinuous RNAs, of approximately 1.5 and 0.45 kb, were detected in the presence of the Rf-1 gene. Determination of the 3' and 5' ends of these RNAs suggested that the two discontinuous RNAs were generated from the 2.0 kb RNA by RNA processing at sites within the B-atp6-specific sequences by the action of the Rf-1 gene. Sequence analysis of cDNA clones derived from the N-atp6 RNA and the processed and unprocessed RNAs of B-atp6 indicated that the processed B-atp6 RNAs were edited as efficiently as the N-atp6, whereas unedited and partially edited RNAs were detected among unprocessed RNAs. RNA processing by Rf-1 thus influences the sequential post-transcriptional editing of the B-atp6 RNAs. Because the unprocessed RNAs of B-atp6 are possibly translated into altered polypeptides, our results suggest that interaction of RNA processing and editing plays a role in controlling CMS expression and the restoration of fertility in rice.
12451175	A pectin glucuronyltransferase gene is essential for intercellular attachment in the plant meristem.	2002	Proc Natl Acad Sci U S A	Intercellular attachment is an essential process in the morphogenesis of multicellular organisms. A unique mutant, nolac-H18 (nonorganogenic callus with loosely attached cells), generated by T-DNA transformation using leaf-disk cultures of haploid Nicotiana plumbaginifolia, lost the ability to form tight intercellular attachments and adventitious shoots. The gene tagged with T-DNA, named NpGUT1 (glucuronyltransferase 1), was similar to the gene for the catalytic domains of animal glucuronyltransferases and was expressed predominantly in shoot and root apical meristems. The transformation of NpGUT1 complemented the nolac-H18 mutation, and the expression of antisense NpGUT1 RNA produced crumbled shoots. The mutation caused defects in the glucuronic acid of rhamnogalacturonan II of pectin, which drastically reduced the formation of borate cross-linking of rhamnogalacturonan II. NpGUT1, which encodes a unique glucuronyltransferase, is a glycosyltransferase gene identified in pectin biosynthesis and is essential for intercellular attachment in plant meristems and tissues.
12059099	Enhanced resistance to seed-transmitted bacterial diseases in transgenic rice plants overproducing an oat cell-wall-bound thionin.	2002	Mol Plant Microbe Interact	Bacterial attack is a serious agricultural problem for growth of rice seedlings in the nursery and field. The thionins purified from seed and etiolated seedlings of barley are known to have antimicrobial activity against necrotrophic pathogens; however, we found that no endogenous rice thionin genes alone are enough for resistance to two major seed-transmitted phytopathogenic bacteria, Burkholderia plantarii and B. glumae, although rice thionin genes constitutively expressed in coleoptile, the target organ of the bacteria. Thus, we isolated thionin genes from oat, one of which was overexpressed in rice. When wild-type rice seed were germinated with these bacteria, all seedlings were wilted with severe blight. In the seedling infected with B. plantarii, bacterial staining was intensively marked around stomata and intercellular spaces. However, transgenic rice seedlings accumulating a high level of oat thionin in cell walls grew almost normally with bacterial staining only on the surface of stomata. These results indicate that the oat thionin effectively works in rice plants against bacterial attack.
